goos: darwin
goarch: arm64
pkg: github.com/dingyuchen/egomap
BenchmarkEgomap/write_per:2-2          	10934056	       106.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:2-4          	 9262629	       125.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:2-8          	 7796132	       144.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:2-10         	 7835439	       151.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100-2        	60682680	        17.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100-4        	72642522	        14.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100-8        	62170086	        21.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100-10       	46264254	        25.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:1000-2       	81274200	        14.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:1000-4       	133254120	         8.426 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:1000-8       	159607551	         9.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:1000-10      	148723195	         8.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:10000-2      	83106157	        13.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:10000-4      	147962973	         7.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:10000-8      	171124396	         6.881 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:10000-10     	160367151	         7.444 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100000-2     	89734620	        13.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100000-4     	171593137	         8.132 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100000-8     	179935042	         6.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap/write_per:100000-10    	165081387	         7.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:2-2         	20527454	        58.66 ns/op	      14 B/op	       1 allocs/op
BenchmarkSyncMap/write_per:2-4         	37502392	        33.98 ns/op	      14 B/op	       1 allocs/op
BenchmarkSyncMap/write_per:2-8         	55030828	        21.28 ns/op	      14 B/op	       1 allocs/op
BenchmarkSyncMap/write_per:2-10        	56372102	        20.57 ns/op	      14 B/op	       1 allocs/op
BenchmarkSyncMap/write_per:100-2       	26463048	        45.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100-4       	49859768	        24.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100-8       	93316530	        11.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100-10      	86599611	        11.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:1000-2      	25624758	        44.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:1000-4      	51120568	        23.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:1000-8      	100000000	        11.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:1000-10     	100000000	        10.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:10000-2     	26789924	        44.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:10000-4     	55540126	        23.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:10000-8     	100000000	        10.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:10000-10    	100000000	        11.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100000-2    	26466063	        43.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100000-4    	53818495	        23.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100000-8    	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap/write_per:100000-10   	100000000	        10.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap_Write-2                	 6407857	       187.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap_Write-4                	 3454522	       338.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap_Write-8                	 1419388	       836.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEgomap_Write-10               	  792632	      1637 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncMap_Write-2               	 9912594	       109.9 ns/op	      29 B/op	       2 allocs/op
BenchmarkSyncMap_Write-4               	 6162646	       162.4 ns/op	      29 B/op	       2 allocs/op
BenchmarkSyncMap_Write-8               	 4469815	       232.2 ns/op	      29 B/op	       2 allocs/op
BenchmarkSyncMap_Write-10              	 4131546	       282.5 ns/op	      29 B/op	       2 allocs/op
BenchmarkEgomap_Read-2                 	28584217	        47.43 ns/op	     215 B/op	       0 allocs/op
BenchmarkEgomap_Read-4                 	54549072	        21.04 ns/op	      57 B/op	       0 allocs/op
BenchmarkEgomap_Read-8                 	144091598	         8.145 ns/op	      21 B/op	       0 allocs/op
BenchmarkEgomap_Read-10                	161123964	         8.028 ns/op	      30 B/op	       0 allocs/op
BenchmarkSyncMap_Read-2                	13154608	        81.67 ns/op	       4 B/op	       0 allocs/op
BenchmarkSyncMap_Read-4                	27322700	        41.20 ns/op	       3 B/op	       0 allocs/op
BenchmarkSyncMap_Read-8                	52655865	        20.25 ns/op	       1 B/op	       0 allocs/op
BenchmarkSyncMap_Read-10               	47517241	        21.34 ns/op	       1 B/op	       0 allocs/op
PASS
ok  	github.com/dingyuchen/egomap	140.146s
